n_estimators,min_samples_split,n_jobs,max_depth,spa,bias,var,loss
0,4,0,2,0,0.345,1.8477366255144038e-05,0.11904347736625512
4,1,0,3,1,0.34503703703703703,1.1034293552811955e-05,0.11906159122085047
3,2,0,2,1,0.34503703703703703,3.722085048010962e-05,0.11908777777777776
0,1,0,1,0,0.3450740740740741,2.3670781893004124e-05,0.11909978737997257
1,0,0,3,0,0.3451481481481482,1.733058984910835e-05,0.11914457475994517
2,3,0,2,1,0.3451481481481481,1.984087791495214e-05,0.11914708504801094
3,4,0,2,1,0.34518518518518515,2.7270233196159345e-05,0.11918008230452672
3,3,0,1,0,0.3452222222222223,2.701508916323743e-05,0.11920539780521269
4,2,0,3,1,0.34533333333333327,2.269410150891641e-05,0.11927780521261998
4,1,0,1,0,0.3454074074074074,2.1253772290809457e-05,0.11932753086419752
2,1,0,1,0,0.34544444444444444,1.486419753086405e-05,0.11934672839506173
4,3,0,1,0,0.34544444444444455,1.821124828532218e-05,0.11935007544581627
4,1,0,2,1,0.3454814814814815,1.5975308641975437e-05,0.11937342935528122
4,0,0,2,1,0.3454814814814815,2.7799725651577485e-05,0.11938525377229083
3,3,0,2,1,0.3454814814814815,3.512482853223593e-05,0.11939257887517149
4,3,0,2,1,0.3455555555555556,2.614540466392301e-05,0.1194347873799726
0,0,0,2,0,0.3455555555555556,2.8395061728395116e-05,0.11943703703703708
4,0,0,1,0,0.3458888888888889,1.8729766803840808e-05,0.11965785322359397
3,0,0,1,0,0.3458888888888889,2.7481481481481583e-05,0.11966660493827161
1,2,0,1,0,0.3459629629629629,4.4362139917695095e-06,0.11969480795610421
4,4,0,1,0,0.34603703703703703,2.5632373113854437e-05,0.1197672633744856
2,4,0,3,2,0.3460740740740741,2.1390946502057747e-05,0.11978865569272977
3,2,0,1,0,0.34611111111111115,1.4567901234568105e-05,0.1198074691358025
4,2,0,1,0,0.3461481481481482,1.2213991769547392e-05,0.11983075445816191
4,2,0,2,1,0.34618518518518515,1.771742112482859e-05,0.11986189986282576
2,4,0,3,1,0.3462962962962963,2.319615912208496e-05,0.11994432098765434
2,2,0,1,0,0.34637037037037044,1.4548696844993213e-05,0.11998698216735258
0,1,0,2,0,0.34637037037037044,1.9829903978052098e-05,0.11999226337448565
4,1,0,2,2,0.3464074074074074,2.1805212620027293e-05,0.12001989711934155
4,4,0,3,1,0.34637037037037044,5.168175582990436e-05,0.1200241152263375
3,0,0,3,1,0.34644444444444444,3.491632373113843e-05,0.12005866941015089
1,0,0,1,0,0.3464814814814814,2.5624142661179857e-05,0.1200750411522633
3,1,0,3,1,0.34659259259259256,2.907544581618642e-05,0.12015550068587104
2,2,0,2,1,0.3466296296296296,1.0965706447188002e-05,0.1201630658436214
4,0,0,3,2,0.3466296296296296,1.428532235939653e-05,0.12016638545953359
3,4,0,3,1,0.3466666666666667,3.794238683127565e-05,0.12021572016460906
2,2,0,3,1,0.34670370370370374,1.970370370370368e-05,0.12022316186556929
2,3,0,3,1,0.3467407407407407,7.539094650205806e-06,0.12023668038408775
3,4,0,1,0,0.3467407407407407,3.2971193415637896e-05,0.12026211248285318
3,1,0,1,0,0.34677777777777785,1.6455418381344364e-05,0.12027128257887522
0,0,0,3,0,0.3468148148148148,1.3297668038408765e-05,0.12029381344307269
3,2,0,3,1,0.34685185185185186,2.8161865569273185e-05,0.12033436899862826
0,3,0,1,0,0.3468888888888888,3.4724279835391053e-05,0.12036662551440323
4,3,0,2,2,0.34692592592592597,2.0844993141289357e-05,0.12037844307270236
1,4,0,1,0,0.3470000000000001,2.2941015089163066e-05,0.12043194101508922
4,2,0,2,2,0.3470000000000001,2.679561042524002e-05,0.12043579561042529
1,3,0,1,0,0.34703703703703703,2.930041152263346e-05,0.12046400548696845
0,2,0,3,0,0.347074074074074,9.182441700960366e-06,0.12046959533607676
2,3,0,1,0,0.3470740740740741,1.8112482853223576e-05,0.1204785253772291
3,0,0,3,2,0.3470740740740741,1.9127572016461123e-05,0.12047954046639232
1,2,0,2,1,0.34703703703703703,5.524005486968416e-05,0.12048994513031551
0,0,0,1,0,0.3471481481481482,1.4329218106995858e-05,0.12052616598079566
3,1,0,2,2,0.3471481481481481,2.0584362139917617e-05,0.1205324211248285
1,1,0,1,0,0.3472222222222222,2.009602194787391e-05,0.12058336762688614
1,4,0,2,2,0.3472222222222221,3.052126200274355e-05,0.12059379286694093
3,2,0,3,2,0.34733333333333327,1.1901234567901402e-05,0.1206523456790123
3,3,0,2,2,0.34733333333333327,2.936351165980795e-05,0.1206698079561042
3,1,0,2,1,0.34737037037037033,1.8469135802469166e-05,0.12068464334705073
1,0,0,3,1,0.3474074074074075,1.4924554183813526e-05,0.12070683127572022
4,1,0,3,2,0.3474074074074075,2.2235939643346933e-05,0.12071414266117976
4,0,0,2,2,0.34744444444444444,1.815363511659814e-05,0.12073579561042524
