kernel,gamma,C,spa,bias,var,loss
1,1,1,1,0.3501481481481481,4.73799725651571e-06,0.12260846364883399
1,3,1,3,0.35037037037037033,1.6899862825788612e-05,0.12277629629629626
1,2,3,3,0.3506296296296296,1.8170096021947918e-05,0.1229593072702332
1,3,3,3,0.3506666666666667,2.49739368998628e-05,0.12299208504801099
1,0,4,1,0.35077777777777785,2.5157750342936007e-06,0.1230475651577504
1,1,4,3,0.35085185185185197,1.893827160493828e-05,0.12311596021947882
0,3,4,1,0.351,1.3890260631001572e-05,0.123214890260631
1,0,2,1,0.351074074074074,4.573388203017787e-06,0.1232575788751714
1,1,0,1,0.3512222222222222,9.514403292181062e-06,0.12336656378600823
1,0,3,1,0.35125925925925927,5.506172839506209e-06,0.12338857338820303
1,0,2,0,0.35137037037037033,7.511659807956137e-06,0.12346864883401919
1,3,2,3,0.35151851851851856,1.3009602194787473e-05,0.12357827846364887
1,2,4,3,0.3517407407407407,1.5577503429355346e-05,0.12373712620027431
0,3,3,2,0.35351851851851845,2.780521262002739e-05,0.1250031481481481
0,2,1,0,0.35403703703703704,1.2392318244170152e-05,0.1253546159122085
1,3,2,2,0.35418518518518527,1.7484224965706278e-05,0.12546462962962968
1,3,4,1,0.35437037037037045,1.3615912208504974e-05,0.12559197530864202
1,2,2,3,0.3544074074074074,1.3777777777777735e-05,0.12561838820301782
0,3,4,3,0.3545555555555555,3.519890260630996e-06,0.12571316186556925
0,3,1,1,0.35462962962962963,1.7791495198902605e-05,0.12577996570644717
1,3,0,3,0.3552962962962962,1.4631001371742281e-05,0.12625008916323727
0,3,3,0,0.35544444444444445,5.481481481481609e-06,0.12634623456790126
1,3,3,0,0.35551851851851857,1.1486968449931297e-05,0.12640490397805215
1,3,1,2,0.35551851851851857,1.9840877914952073e-05,0.12641325788751717
1,3,3,2,0.3556296296296295,3.0803840877914895e-05,0.12650323731138538
1,0,1,1,0.35611111111111116,1.7654320987654392e-05,0.12683277777777782
1,0,1,0,0.3564814814814815,1.9094650205761435e-05,0.12709814128943758
1,2,3,2,0.35659259259259257,3.0337448559670654e-05,0.1271886145404664
1,2,4,2,0.35685185185185175,1.4224965706447168e-05,0.1273574691358024
1,1,4,2,0.35718518518518516,2.9511659807956158e-05,0.12761076817558298
0,3,2,2,0.3572592592592593,1.4244170096021933e-05,0.12764842249657066
0,2,4,2,0.35729629629629633,1.3945130315500508e-05,0.1276745884773663
1,1,3,3,0.3574074074074074,1.902606310013705e-05,0.12775908093278462
1,2,1,3,0.3574814814814815,1.919890260630999e-05,0.12781220850480113
1,3,0,2,0.358,3.480658436214e-05,0.12819880658436214
1,2,2,2,0.35829629629629633,2.7810699588477436e-05,0.12840404663923186
1,1,2,3,0.35833333333333317,7.626886145404609e-06,0.1284104046639231
0,3,1,2,0.359,1.9829903978052206e-05,0.12890082990397805
